City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed,Date_readable
Blackwater,20,GB,1548732000,86,51.33,-0.78,33.8,4.7,2019-01-29
Kisesa,20,TZ,1548730800,83,-2.55,33.05,69.8,8.75,2019-01-29
Lompoc,90,US,1548732900,93,34.64,-120.46,59.0,3.36,2019-01-29
Yellowknife,20,CA,1548730800,67,62.45,-114.38,-27.41,6.93,2019-01-29
Bilibino,36,RU,1548733858,39,68.06,166.44,-26.33,2.37,2019-01-29
Port Elizabeth,1,US,1548730560,71,39.31,-74.98,26.96,7.07,2019-01-29
Tuatapere,0,NZ,1548733858,60,-46.13,167.69,71.55,9.98,2019-01-29
Thompson,40,CA,1548730800,59,55.74,-97.86,-32.81,6.93,2019-01-29
Nemuro,75,JP,1548730800,79,43.32,145.57,28.4,13.87,2019-01-29
Souillac,90,FR,1548730800,100,45.6,-0.6,35.6,1.12,2019-01-29
Butaritari,12,KI,1548733859,100,3.07,172.79,84.24,18.81,2019-01-29
Rikitea,8,PF,1548733859,98,-23.12,-134.97,80.91,13.33,2019-01-29
Duku,0,NG,1548733859,36,11.24,4.91,66.96,8.19,2019-01-29
Punta Arenas,0,CL,1548730800,70,-53.16,-70.91,44.6,12.75,2019-01-29
North Bend,1,US,1548730560,79,43.41,-124.22,48.92,3.36,2019-01-29
Vaini,40,IN,1548730800,82,15.34,74.49,64.4,6.93,2019-01-29
Busselton,20,AU,1548733861,93,-33.64,115.35,69.93,11.77,2019-01-29
Airai,92,TL,1548733861,94,-8.93,125.41,72.76,1.92,2019-01-29
Ous,68,RU,1548733861,79,60.91,61.52,8.82,3.38,2019-01-29
Bluff,92,AU,1548733861,91,-23.58,149.07,72.67,14.79,2019-01-29
Nikolskoye,75,RU,1548732600,85,59.7,30.79,10.4,13.42,2019-01-29
Madimba,75,CM,1548730800,100,4.42,9.93,78.8,2.24,2019-01-29
Barrow,0,AR,1548733862,71,-38.31,-60.23,71.46,6.73,2019-01-29
Lincoln,8,GB,1548732000,90,53.23,-0.54,35.6,12.75,2019-01-29
Sao Joao da Barra,0,BR,1548733831,96,-21.64,-41.05,81.04,14.23,2019-01-29
Laminusa,48,PH,1548733863,100,5.55,120.91,79.92,10.42,2019-01-29
Cape Town,0,ZA,1548730800,88,-33.93,18.42,62.6,16.11,2019-01-29
Jamestown,0,AU,1548733864,94,-33.21,138.6,78.79,3.15,2019-01-29
Negombo,20,LK,1548731400,69,7.21,79.83,78.8,9.17,2019-01-29
Atuona,56,PF,1548733864,99,-9.8,-139.03,81.76,19.48,2019-01-29
Bowen,75,AU,1548731100,94,-20.01,148.25,77.0,4.7,2019-01-29
Kahului,40,US,1548730560,55,20.89,-156.47,75.02,25.28,2019-01-29
Carnarvon,68,ZA,1548733865,26,-30.97,22.13,59.89,2.93,2019-01-29
Ukiah,1,US,1548730560,64,39.15,-123.21,60.08,2.04,2019-01-29
Longyearbyen,75,NO,1548730200,73,78.22,15.63,23.0,25.28,2019-01-29
Qeshm,75,IR,1548732600,88,26.96,56.27,68.0,4.7,2019-01-29
Port Moresby,40,PG,1548730800,62,-9.47,147.16,87.8,17.22,2019-01-29
Santa Helena de Goias,36,BR,1548733866,84,-17.81,-50.6,70.69,1.92,2019-01-29
Kapaa,75,US,1548730560,55,22.08,-159.32,75.92,25.28,2019-01-29
Ngawi,44,ID,1548733866,80,-7.4,111.45,85.14,8.63,2019-01-29
Avarua,40,CK,1548730800,83,-21.21,-159.78,84.2,12.75,2019-01-29
Hermanus,0,ZA,1548733867,88,-34.42,19.24,59.49,2.93,2019-01-29
Leshukonskoye,0,RU,1548733867,57,64.9,45.76,-11.48,2.48,2019-01-29
Tuktoyaktuk,75,CA,1548730800,77,69.44,-133.03,5.0,6.93,2019-01-29
Chuy,44,UY,1548733867,93,-33.69,-53.46,75.69,7.63,2019-01-29
Severo-Kurilsk,0,RU,1548733868,100,50.68,156.12,26.86,26.87,2019-01-29
Mapiripan,56,CO,1548733868,72,2.89,-72.13,78.48,4.94,2019-01-29
Onega,76,RU,1548733868,72,63.91,38.09,1.08,11.21,2019-01-29
Camacari,75,BR,1548730800,88,-12.7,-38.32,78.8,5.82,2019-01-29
Orlik,12,RU,1548733868,66,52.51,99.83,-19.18,2.82,2019-01-29
Pervomayskoye,76,RU,1548733869,65,57.07,86.23,0.27,16.8,2019-01-29
Khatanga,48,RU,1548733869,55,71.98,102.47,-31.64,2.71,2019-01-29
Ushuaia,40,AR,1548730800,75,-54.81,-68.31,42.8,8.05,2019-01-29
Saskylakh,44,RU,1548733869,0,71.97,114.09,-39.88,2.71,2019-01-29
